pl_name,sy_snum,sy_pnum,sy_mnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,st_lum,st_age,sy_dist,discoverymethod,disc_year_y,disc_facility,habitability_percent,cluster,cluster_label
11 Com b,2,1,0,324.62,1.21,,,5434.7,,0.2345,,,,,,4808,16.38,2.6,-0.305,2.110615,,93.1846,Radial Velocity,2007,Xinglong Station,Not enough data,,
11 UMi b,1,1,0,516.219985,1.53,,,3432.4,,0.08,,,,,,4276.5,26.935,1.8,0.01,,1.56,125.321,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Not enough data,,
14 And b,1,1,0,186.3,0.775,,,1131.151301,,0,,,,,,4850.5,11.275,1.78,-0.225,1.80146,,75.4392,Radial Velocity,2008,Okayama Astrophysical Observatory,Not enough data,,
14 Her b,1,2,0,1766.41,2.81,,2559.472162,1523.958887,,0.3682,,,144.652,,,5297.47,0.995819,0.91,0.4052,-0.151365,3.9,17.9323,Radial Velocity,2002,W. M. Keck Observatory,Not enough data,,
16 Cyg B b,3,1,0,799.475,1.678,,,533.9422,,0.6821,,,,,,5747,1.13,1,0.06,0.09729,,21.1397,Radial Velocity,1996,Multiple Observatories,Not enough data,,
17 Sco b,1,1,0,578.38,1.45,,,1373.018718,,0.06,,,,,,4157,25.92,1.22,-0.01,2.25435,5.13,124.953,Radial Velocity,2020,Lick Observatory,Not enough data,,
18 Del b,2,1,0,988.075,2.54,,,3127.3,,0.052,,,,,,4979.5,8.65,2.1,-0.056,1.617835,,76.222,Radial Velocity,2008,Okayama Astrophysical Observatory,Not enough data,,
24 Boo b,1,1,0,30.3403,0.192,,,284.9338917,,0.037,,,,,,4854.5,11.415,1.02,-0.775,1.82553,6.92,95.9863,Radial Velocity,2018,Okayama Astrophysical Observatory,Not enough data,,
24 Sex b,1,2,0,452.8,1.333,,,632.46,,0.09,,,,,,5098,4.9,1.54,-0.03,1.164,2.7,72.0691,Radial Velocity,2010,Lick Observatory,Not enough data,,
24 Sex c,1,2,0,883,2.08,,,273.32,,0.29,,,,,,5098,4.9,1.54,-0.03,1.164,2.7,72.0691,Radial Velocity,2010,Lick Observatory,Not enough data,,
2M0437 b,1,1,0,,118,,1271.313628,1271.313628,,,,1450,,,,3100,0.84,0.17,0.01,-1.16368,0.0025,128.484,Imaging,2021,Subaru Telescope,Not enough data,,
2MASS J01033563-5515561 AB b,2,1,0,,84,,4131.79,4131.79,,,,,,,,,,0.19,,,0.03,,Imaging,2013,Paranal Observatory,Not enough data,,
2MASS J02192210-3925225 b,1,1,0,,156,16.14096,4417.837,4417.837,,,,,,,,3064,0.281,0.108,,-2.23,0.035,,Imaging,2015,Cerro Tololo Inter-American Observatory,Not enough data,,
2MASS J0249-0557 c,2,1,0,,1950,,3686.809521,3686.809521,,,,,,,,,,0.046,,-2.59,0.022,66.0613,Imaging,2018,Mauna Kea Observatory,Not enough data,,
2MASS J03590986+2009361 b,1,1,0,,572,,5720.911326,5720.911326,,,,2369,,,,,,,,,,117.435,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
2MASS J04414489+2301513 b,1,1,0,,15,,2383.6,2383.6,,,,,,,,,,0.019,,,0.001,,Imaging,2010,Hubble Space Telescope,Not enough data,,
2MASS J11011926-7732383 b,1,1,0,,266,,8899.195396,8899.195396,,,,2677,,,,,,,,,,,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
2MASS J11550485-7919108 b,1,1,0,,587,,6356.56814,6356.56814,,,,2506,,,,,,,,,,100.862,Imaging,2024,European Space Agency (ESA) Gaia Satellite,Not enough data,,
